 0.1000000E+00  0.1878686E+00  0.1576815E+00  0.1305439E+00  0.1061789E+00  0.8433465E-01  0.6478237E-01  0.4731392E-01  0.3174008E-01  0.1788884E-01  0.5603770E-02 -0.5257326E-02 -0.1482375E-01 -0.2321305E-01 -0.3053212E-01 -0.3687813E-01 -0.4233944E-01 -0.4699637E-01 -0.5092196E-01 -0.5418263E-01 -0.5683874E-01
 0.2000000E+00  0.3757288E+00  0.3153565E+00  0.2610827E+00  0.2123538E+00  0.1686664E+00  0.1295625E+00  0.9462625E-01  0.6347908E-01  0.3577698E-01  0.1120717E-01 -0.1051477E-01 -0.2964739E-01 -0.4642582E-01 -0.6106381E-01 -0.7375569E-01 -0.8467819E-01 -0.9399194E-01 -0.1018430E+00 -0.1083643E+00 -0.1136764E+00
 0.3000000E+00  0.5635722E+00  0.4730183E+00  0.3916114E+00  0.3185210E+00  0.2529922E+00  0.1943384E+00  0.1419354E+00  0.9521589E-01  0.5366374E-01  0.1680982E-01 -0.1577243E-01 -0.4447083E-01 -0.6963803E-01 -0.9159462E-01 -0.1106321E+00 -0.1270156E+00 -0.1409859E+00 -0.1527623E+00 -0.1625439E+00 -0.1705119E+00
 0.4000000E+00  0.7513905E+00  0.6306605E+00  0.5221248E+00  0.4246765E+00  0.3373091E+00  0.2591076E+00  0.1892399E+00  0.1269494E+00  0.7154841E-01  0.2241134E-01 -0.2103043E-01 -0.5929397E-01 -0.9284938E-01 -0.1221241E+00 -0.1475068E+00 -0.1693509E+00 -0.1879775E+00 -0.2036789E+00 -0.2167206E+00 -0.2273440E+00
 0.5000000E+00  0.9391752E+00  0.7882765E+00  0.6526180E+00  0.5308164E+00  0.4216143E+00  0.3238681E+00  0.2365380E+00  0.1586786E+00  0.8943030E-01  0.2801137E-01 -0.2628889E-01 -0.7411669E-01 -0.1160596E+00 -0.1526519E+00 -0.1843792E+00 -0.2116834E+00 -0.2349659E+00 -0.2545918E+00 -0.2708932E+00 -0.2841719E+00
 0.6000000E+00  0.1126918E+01  0.9458598E+00  0.7830857E+00  0.6369368E+00  0.5059047E+00  0.3886176E+00  0.2838282E+00  0.1904024E+00  0.1073087E+00  0.3360952E-01 -0.3154791E-01 -0.8893890E-01 -0.1392684E+00 -0.1831774E+00 -0.2212488E+00 -0.2540125E+00 -0.2819503E+00 -0.3055003E+00 -0.3250609E+00 -0.3409942E+00
 0.7000000E+00  0.1314611E+01  0.1103404E+01  0.9135230E+00  0.7430339E+00  0.5901774E+00  0.4533540E+00  0.3311090E+00  0.2221196E+00  0.1251830E+00  0.3920543E-01 -0.3680761E-01 -0.1037605E+00 -0.1624755E+00 -0.2137004E+00 -0.2581149E+00 -0.2963374E+00 -0.3289299E+00 -0.3564033E+00 -0.3792226E+00 -0.3978101E+00
 0.8000000E+00  0.1502245E+01  0.1260902E+01  0.1043925E+01  0.8491036E+00  0.6744295E+00  0.5180751E+00  0.3783787E+00  0.2538291E+00  0.1430524E+00  0.4479871E-01 -0.4206810E-01 -0.1185814E+00 -0.1856806E+00 -0.2442202E+00 -0.2949771E+00 -0.3386575E+00 -0.3759038E+00 -0.4073001E+00 -0.4333773E+00 -0.4546182E+00
 0.9000000E+00  0.1689811E+01  0.1418348E+01  0.1174286E+01  0.9551422E+00  0.7586580E+00  0.5827786E+00  0.4256357E+00  0.2855300E+00  0.1609162E+00  0.5038900E-01 -0.4732950E-01 -0.1334014E+00 -0.2088835E+00 -0.2747366E+00 -0.3318347E+00 -0.3809721E+00 -0.4228714E+00 -0.4581896E+00 -0.4875240E+00 -0.5114176E+00
 0.1000000E+01  0.1877303E+01  0.1575734E+01  0.1304601E+01  0.1061146E+01  0.8428600E+00  0.6474625E+00  0.4728786E+00  0.3172211E+00  0.1787738E+00  0.5597592E-01 -0.5259192E-01 -0.1482205E+00 -0.2320838E+00 -0.3052491E+00 -0.3686871E+00 -0.4232805E+00 -0.4698318E+00 -0.5090710E+00 -0.5416617E+00 -0.5682072E+00
