 0.2000000E+00  0.2790090E+00  0.2137453E+00  0.1558446E+00  0.1044762E+00  0.5890311E-01  0.1847159E-01 -0.1739843E-01 -0.4922158E-01 -0.7745443E-01 -0.1025020E+00 -0.1247237E+00 -0.1444383E+00
 0.4000000E+00  0.5579821E+00  0.4274662E+00  0.3116734E+00  0.2089430E+00  0.1178015E+00  0.3694188E-01 -0.3479577E-01 -0.9844043E-01 -0.1549050E+00 -0.2049995E+00 -0.2494426E+00 -0.2888716E+00
 0.6000000E+00  0.8368835E+00  0.6411384E+00  0.4674707E+00  0.3133910E+00  0.1766906E+00  0.5540956E-01 -0.5219093E-01 -0.1476538E+00 -0.2323480E+00 -0.3074881E+00 -0.3741517E+00 -0.4332950E+00
 0.8000000E+00  0.1115677E+01  0.8547375E+00  0.6232207E+00  0.4178109E+00  0.2355655E+00  0.7387332E-01 -0.6958282E-01 -0.1968590E+00 -0.3097795E+00 -0.4099632E+00 -0.4988464E+00 -0.5777035E+00
 0.1000000E+01  0.1394328E+01  0.1068239E+01  0.7789076E+00  0.5221933E+00  0.2944217E+00  0.9233186E-01 -0.8697035E-01 -0.2460532E+00 -0.3871957E+00 -0.5124203E+00 -0.6235216E+00 -0.7220920E+00
 0.1200000E+01  0.1672799E+01  0.1281619E+01  0.9345158E+00  0.6265288E+00  0.3532545E+00  0.1107839E+00 -0.1043524E+00 -0.2952337E+00 -0.4645928E+00 -0.6148550E+00 -0.7481727E+00 -0.8664557E+00
 0.1400000E+01  0.1951056E+01  0.1494853E+01  0.1090029E+01  0.7308082E+00  0.4120591E+00  0.1292281E+00 -0.1217280E+00 -0.3443978E+00 -0.5419670E+00 -0.7172628E+00 -0.8727947E+00 -0.1010789E+01
 0.1600000E+01  0.2229062E+01  0.1707916E+01  0.1245433E+01  0.8350219E+00  0.4708310E+00  0.1476631E+00 -0.1390959E+00 -0.3935428E+00 -0.6193144E+00 -0.8196392E+00 -0.9973827E+00 -0.1155088E+01
 0.1800000E+01  0.2506782E+01  0.1920786E+01  0.1400711E+01  0.9391608E+00  0.5295653E+00  0.1660878E+00 -0.1564550E+00 -0.4426658E+00 -0.6966313E+00 -0.9219797E+00 -0.1121932E+01 -0.1299348E+01
 0.2000000E+01  0.2784181E+01  0.2133436E+01  0.1555847E+01  0.1043215E+01  0.5882575E+00  0.1845007E+00 -0.1738044E+00 -0.4917643E+00 -0.7739137E+00 -0.1024280E+01 -0.1246438E+01 -0.1443562E+01
 0.2200000E+01  0.3061223E+01  0.2345844E+01  0.1710826E+01  0.1147177E+01  0.6469029E+00  0.2029005E+00 -0.1911429E+00 -0.5408353E+00 -0.8511580E+00 -0.1126535E+01 -0.1370895E+01 -0.1587726E+01
 0.2400000E+01  0.3337873E+01  0.2557985E+01  0.1865632E+01  0.1251035E+01  0.7054968E+00  0.2212861E+00 -0.2084694E+00 -0.5898763E+00 -0.9283602E+00 -0.1228741E+01 -0.1495299E+01 -0.1731836E+01
