 0.5134188E+00  0.3175180+156  0.2245191+156  0.2245191+156
 0.6067431E+00  0.6893333+156 -0.4874322+156 -0.4874322+156
 0.7000675E+00  0.9957688+156  0.7041149+156  0.7041149+156
 0.7933918E+00  0.1258245+157 -0.8897133+156 -0.8897133+156
 0.8867162E+00  0.1531895+157  0.1083214+157  0.1083214+157
 0.9800405E+00  0.1864193+157 -0.1318184+157 -0.1318184+157
 0.1073365E+01  0.2289553+157  0.1618959+157  0.1618959+157
 0.1166689E+01  0.2830593+157 -0.2001531+157 -0.2001531+157
 0.1260013E+01  0.3494205+157  0.2470776+157  0.2470776+157
 0.1353338E+01  0.4256976+157 -0.3010137+157 -0.3010137+157
 0.1446662E+01  0.5036779+157  0.3561540+157  0.3561540+157
 0.1539987E+01  0.5657809+157 -0.4000675+157 -0.4000675+157
 0.1633311E+01  0.5855267+157  0.4140299+157  0.4140299+157
 0.1726635E+01  0.5433589+157 -0.3842128+157 -0.3842128+157
 0.1819960E+01  0.4578450+157  0.3237453+157  0.3237453+157
 0.1913284E+01  0.3547329+157 -0.2508340+157 -0.2508340+157
 0.2006608E+01  0.2515545+157  0.1778759+157  0.1778759+157
 0.2099933E+01  0.1579332+157 -0.1116756+157 -0.1116756+157
 0.2193257E+01  0.8025752+156  0.5675064+156  0.5675064+156
 0.2286581E+01  0.2541983+156 -0.1797453+156 -0.1797453+156
