 0.3000500E+01 -0.4622045E+01 -0.4244682E+01 -0.3868184E+01 -0.3491378E+01 -0.3114379E+01 -0.2737292E+01 -0.2360168E+01 -0.1983033E+01 -0.1605889E+01 -0.1228740E+01 -0.8516013E+00 -0.4744692E+00 -0.9728730E-01  0.2800704E+00  0.6575962E+00  0.1034599E+01  0.1411517E+01
 0.3001000E+01 -0.4621209E+01 -0.4243609E+01 -0.3867740E+01 -0.3491251E+01 -0.3114377E+01 -0.2737325E+01 -0.2360201E+01 -0.1983056E+01 -0.1605891E+01 -0.1228716E+01 -0.8515626E+00 -0.4744220E+00 -0.9718168E-01  0.2804108E+00  0.6583386E+00  0.1035219E+01  0.1411932E+01
 0.3001500E+01 -0.4620369E+01 -0.4242533E+01 -0.3867297E+01 -0.3491124E+01 -0.3114375E+01 -0.2737358E+01 -0.2360235E+01 -0.1983078E+01 -0.1605892E+01 -0.1228692E+01 -0.8515239E+00 -0.4743749E+00 -0.9707613E-01  0.2807517E+00  0.6590815E+00  0.1035837E+01  0.1412347E+01
 0.3002000E+01 -0.4619524E+01 -0.4241454E+01 -0.3866854E+01 -0.3490997E+01 -0.3114372E+01 -0.2737392E+01 -0.2360268E+01 -0.1983100E+01 -0.1605894E+01 -0.1228669E+01 -0.8514854E+00 -0.4743280E+00 -0.9697066E-01  0.2810931E+00  0.6598247E+00  0.1036455E+01  0.1412762E+01
 0.3002500E+01 -0.4618675E+01 -0.4240373E+01 -0.3866412E+01 -0.3490870E+01 -0.3114370E+01 -0.2737426E+01 -0.2360302E+01 -0.1983123E+01 -0.1605896E+01 -0.1228645E+01 -0.8514469E+00 -0.4742812E+00 -0.9686525E-01  0.2814351E+00  0.6605684E+00  0.1037072E+01  0.1413177E+01
 0.3003000E+01 -0.4617821E+01 -0.4239290E+01 -0.3865971E+01 -0.3490744E+01 -0.3114368E+01 -0.2737459E+01 -0.2360335E+01 -0.1983145E+01 -0.1605897E+01 -0.1228622E+01 -0.8514086E+00 -0.4742345E+00 -0.9675992E-01  0.2817776E+00  0.6613125E+00  0.1037687E+01  0.1413592E+01
 0.3003500E+01 -0.4616963E+01 -0.4238205E+01 -0.3865530E+01 -0.3490617E+01 -0.3114366E+01 -0.2737493E+01 -0.2360369E+01 -0.1983167E+01 -0.1605899E+01 -0.1228598E+01 -0.8513704E+00 -0.4741880E+00 -0.9665465E-01  0.2821207E+00  0.6620569E+00  0.1038301E+01  0.1414006E+01
 0.3004000E+01 -0.4616100E+01 -0.4237117E+01 -0.3865090E+01 -0.3490491E+01 -0.3114364E+01 -0.2737527E+01 -0.2360402E+01 -0.1983189E+01 -0.1605901E+01 -0.1228575E+01 -0.8513322E+00 -0.4741416E+00 -0.9654945E-01  0.2824643E+00  0.6628018E+00  0.1038915E+01  0.1414420E+01
 0.3004500E+01 -0.4615232E+01 -0.4236027E+01 -0.3864651E+01 -0.3490365E+01 -0.3114361E+01 -0.2737561E+01 -0.2360436E+01 -0.1983212E+01 -0.1605903E+01 -0.1228552E+01 -0.8512942E+00 -0.4740954E+00 -0.9644432E-01  0.2828085E+00  0.6635470E+00  0.1039527E+01  0.1414835E+01
 0.3005000E+01 -0.4614359E+01 -0.4234935E+01 -0.3864213E+01 -0.3490239E+01 -0.3114359E+01 -0.2737595E+01 -0.2360470E+01 -0.1983234E+01 -0.1605905E+01 -0.1228529E+01 -0.8512563E+00 -0.4740492E+00 -0.9633926E-01  0.2831532E+00  0.6642926E+00  0.1040138E+01  0.1415249E+01
