 0.2500000E+00  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01  0.2250875E-01
 0.5000000E+00  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01  0.4501673E-01
 0.7500000E+00  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01  0.6752323E-01
 0.1000000E+01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01  0.9002751E-01
 0.1250000E+01  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00  0.1125288E+00
 0.1500000E+01  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00  0.1350265E+00
 0.1750000E+01  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00  0.1575198E+00
 0.2000000E+01  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00  0.1800079E+00
 0.2250000E+01  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00  0.2024902E+00
 0.2500000E+01  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00  0.2249660E+00
