 0.1900000E+01  0.1433600E+01  0.9695221E+00  0.6267874E+00  0.3799723E+00  0.2087904E+00  0.9707913E-01  0.3198175E-01  0.3288067E-02  0.2903863E-02  0.2442473E-01  0.6279413E-01  0.1140293E+00  0.1750018E+00  0.2432621E+00  0.3168992E+00  0.3944286E+00
 0.2000000E+01  0.1508766E+01  0.1020403E+01  0.6597044E+00  0.3999378E+00  0.2197650E+00  0.1021826E+00  0.3366238E-01  0.3459861E-02  0.3056315E-02  0.2571097E-01  0.6610142E-01  0.1200353E+00  0.1842196E+00  0.2560755E+00  0.3335915E+00  0.4152049E+00
 0.2100000E+01  0.1583889E+01  0.1071261E+01  0.6926103E+00  0.4198981E+00  0.2307374E+00  0.1072851E+00  0.3534260E-01  0.3631460E-02  0.3208708E-02  0.2699733E-01  0.6940908E-01  0.1260421E+00  0.1934384E+00  0.2688905E+00  0.3502859E+00  0.4359838E+00
 0.2200000E+01  0.1658965E+01  0.1122095E+01  0.7255046E+00  0.4398531E+00  0.2417075E+00  0.1123866E+00  0.3702239E-01  0.3802856E-02  0.3361040E-02  0.2828380E-01  0.7271712E-01  0.1320495E+00  0.2026584E+00  0.2817071E+00  0.3669825E+00  0.4567654E+00
 0.2300000E+01  0.1733993E+01  0.1172904E+01  0.7583868E+00  0.4598025E+00  0.2526752E+00  0.1174871E+00  0.3870175E-01  0.3974039E-02  0.3513307E-02  0.2957039E-01  0.7602556E-01  0.1380578E+00  0.2118797E+00  0.2945255E+00  0.3836814E+00  0.4775499E+00
 0.2400000E+01  0.1808971E+01  0.1223688E+01  0.7912563E+00  0.4797460E+00  0.2636403E+00  0.1225866E+00  0.4038064E-01  0.4144998E-02  0.3665505E-02  0.3085712E-01  0.7933440E-01  0.1440668E+00  0.2211022E+00  0.3073456E+00  0.4003826E+00  0.4983374E+00
 0.2500000E+01  0.1883896E+01  0.1274444E+01  0.8241126E+00  0.4996835E+00  0.2746028E+00  0.1276849E+00  0.4205904E-01  0.4315724E-02  0.3817633E-02  0.3214397E-01  0.8264368E-01  0.1500766E+00  0.2303260E+00  0.3201677E+00  0.4170864E+00  0.5191280E+00
 0.2600000E+01  0.1958767E+01  0.1325173E+01  0.8569552E+00  0.5196146E+00  0.2855625E+00  0.1327821E+00  0.4373694E-01  0.4486208E-02  0.3969687E-02  0.3343097E-01  0.8595341E-01  0.1560874E+00  0.2395512E+00  0.3329916E+00  0.4337927E+00  0.5399218E+00
 0.2700000E+01  0.2033581E+01  0.1375872E+01  0.8897834E+00  0.5395391E+00  0.2965194E+00  0.1378781E+00  0.4541432E-01  0.4656440E-02  0.4121664E-02  0.3471811E-01  0.8926361E-01  0.1620990E+00  0.2487778E+00  0.3458177E+00  0.4505017E+00  0.5607191E+00
 0.2800000E+01  0.2108335E+01  0.1426540E+01  0.9225967E+00  0.5594567E+00  0.3074733E+00  0.1429729E+00  0.4709115E-01  0.4826410E-02  0.4273562E-02  0.3600541E-01  0.9257430E-01  0.1681115E+00  0.2580059E+00  0.3586458E+00  0.4672134E+00  0.5815198E+00
