 0.5134291E+00  0.1883368E+00
 0.6316375E+00  0.1450491E+00
 0.7498467E+00  0.1150616E+00
 0.8680562E+00  0.8954888E-01
 0.9862658E+00  0.6718448E-01
 0.1104475E+01  0.4661722E-01
 0.1222685E+01  0.2718489E-01
 0.1340895E+01  0.8902422E-02
 0.1459105E+01 -0.7705705E-02
 0.1577315E+01 -0.2187637E-01
 0.1695525E+01 -0.3292180E-01
 0.1813736E+01 -0.4053221E-01
 0.1931946E+01 -0.4500853E-01
 0.2050157E+01 -0.4732524E-01
 0.2168368E+01 -0.4855422E-01
 0.2286578E+01 -0.5715126E-01
 0.5134598E+00  0.3766608E+00
 0.6316612E+00  0.2900919E+00
 0.7498655E+00  0.2301185E+00
 0.8680708E+00  0.1790948E+00
 0.9862767E+00  0.1343667E+00
 0.1104483E+01  0.9323223E-01
 0.1222690E+01  0.5436795E-01
 0.1340897E+01  0.1780417E-01
 0.1459104E+01 -0.1541068E-01
 0.1577311E+01 -0.4375143E-01
 0.1695520E+01 -0.6584294E-01
 0.1813729E+01 -0.8106484E-01
 0.1931939E+01 -0.9001786E-01
 0.2050149E+01 -0.9465054E-01
 0.2168360E+01 -0.9710782E-01
 0.2286569E+01 -0.1142991E+00
 0.5135111E+00  0.5649588E+00
 0.6317007E+00  0.4351216E+00
 0.7498969E+00  0.3451660E+00
 0.8680952E+00  0.2686349E+00
 0.9862950E+00  0.2015443E+00
 0.1104496E+01  0.1398428E+00
 0.1222697E+01  0.8154733E-01
 0.1340899E+01  0.2670458E-01
 0.1459102E+01 -0.2311420E-01
 0.1577306E+01 -0.6562388E-01
 0.1695511E+01 -0.9876273E-01
 0.1813718E+01 -0.1215983E+00
 0.1931927E+01 -0.1350288E+00
 0.2050136E+01 -0.1419760E+00
 0.2168347E+01 -0.1456602E+00
 0.2286553E+01 -0.1714402E+00
 0.5135829E+00  0.7532178E+00
 0.6317560E+00  0.5801319E+00
 0.7499407E+00  0.4601994E+00
 0.8681293E+00  0.3581661E+00
 0.9863207E+00  0.2687152E+00
 0.1104514E+01  0.1864468E+00
 0.1222707E+01  0.1087212E+00
 0.1340902E+01  0.3560298E-01
 0.1459099E+01 -0.3081552E-01
 0.1577297E+01 -0.8749239E-01
 0.1695498E+01 -0.1316805E+00
 0.1813703E+01 -0.1621330E+00
 0.1931909E+01 -0.1800422E+00
 0.2050118E+01 -0.1893017E+00
