 0.0000000E+00  0.8514030E-05  0.3031500E-03  0.5124487E-02  0.4294871E-01  0.1770845E+00  0.3596174E+00  0.3596174E+00  0.1770845E+00  0.4294871E-01  0.5124487E-02  0.3031500E-03  0.8514030E-05
 0.2000000E+00  0.8530879E-05  0.3031984E-03  0.5126337E-02  0.4295874E-01  0.1771009E+00  0.3596119E+00  0.3596067E+00  0.1771002E+00  0.4296468E-01  0.5128936E-02  0.3035694E-03  0.8560820E-05
 0.4000000E+00  0.8579293E-05  0.3033244E-03  0.5131795E-02  0.4298901E-01  0.1771507E+00  0.3595948E+00  0.3595736E+00  0.1771479E+00  0.4301289E-01  0.5142165E-02  0.3047918E-03  0.8694958E-05
 0.6000000E+00  0.8655507E-05  0.3035370E-03  0.5140868E-02  0.4303959E-01  0.1772341E+00  0.3595661E+00  0.3595182E+00  0.1772277E+00  0.4309338E-01  0.5164205E-02  0.3068377E-03  0.8909007E-05
 0.8000000E+00  0.8753639E-05  0.3038514E-03  0.5153568E-02  0.4311060E-01  0.1773511E+00  0.3595258E+00  0.3594403E+00  0.1773395E+00  0.4320619E-01  0.5195107E-02  0.3097408E-03  0.9192147E-05
 0.1000000E+01  0.8866240E-05  0.3042879E-03  0.5169913E-02  0.4320224E-01  0.1775015E+00  0.3594738E+00  0.3593402E+00  0.1774831E+00  0.4335140E-01  0.5234944E-02  0.3135467E-03  0.9532010E-05
 0.1200000E+01  0.8984912E-05  0.3048715E-03  0.5189929E-02  0.4331472E-01  0.1776856E+00  0.3594101E+00  0.3592177E+00  0.1776585E+00  0.4352911E-01  0.5283814E-02  0.3183118E-03  0.9916505E-05
 0.1400000E+01  0.9100938E-05  0.3056311E-03  0.5213649E-02  0.4344833E-01  0.1779033E+00  0.3593347E+00  0.3590730E+00  0.1778654E+00  0.4373944E-01  0.5341838E-02  0.3241015E-03  0.1033534E-04
 0.1600000E+01  0.9205851E-05  0.3065982E-03  0.5241117E-02  0.4360341E-01  0.1781547E+00  0.3592475E+00  0.3589060E+00  0.1781037E+00  0.4398251E-01  0.5409166E-02  0.3309887E-03  0.1078117E-04
 0.1800000E+01  0.9291937E-05  0.3078059E-03  0.5272390E-02  0.4378033E-01  0.1784398E+00  0.3591486E+00  0.3587168E+00  0.1783731E+00  0.4425849E-01  0.5485973E-02  0.3390521E-03  0.1125037E-04
 0.2000000E+01  0.9352660E-05  0.3092873E-03  0.5307539E-02  0.4397954E-01  0.1787586E+00  0.3590377E+00  0.3585055E+00  0.1786733E+00  0.4456755E-01  0.5572468E-02  0.3483744E-03  0.1174358E-04
 0.2200000E+01  0.9383034E-05  0.3110746E-03  0.5346653E-02  0.4420152E-01  0.1791113E+00  0.3589150E+00  0.3582722E+00  0.1790041E+00  0.4490987E-01  0.5668887E-02  0.3590416E-03  0.1226599E-04
 0.2400000E+01  0.9379971E-05  0.3131967E-03  0.5389838E-02  0.4444681E-01  0.1794978E+00  0.3587802E+00  0.3580168E+00  0.1793652E+00  0.4528566E-01  0.5775506E-02  0.3711417E-03  0.1282745E-04
 0.2600000E+01  0.9342604E-05  0.3156787E-03  0.5437228E-02  0.4471601E-01  0.1799183E+00  0.3586333E+00  0.3577395E+00  0.1797562E+00  0.4569514E-01  0.5892631E-02  0.3847650E-03  0.1344228E-04
 0.2800000E+01  0.9272626E-05  0.3185400E-03  0.5488978E-02  0.4500975E-01  0.1803728E+00  0.3584743E+00  0.3574404E+00  0.1801767E+00  0.4613852E-01  0.6020608E-02  0.4000042E-03  0.1412880E-04
 0.3000000E+01  0.9174609E-05  0.3217932E-03  0.5545278E-02  0.4532874E-01  0.1808615E+00  0.3583030E+00  0.3571195E+00  0.1806263E+00  0.4661606E-01  0.6159821E-02  0.4169556E-03  0.1490860E-04
 0.3200000E+01  0.9056306E-05  0.3254436E-03  0.5606348E-02  0.4567371E-01  0.1813844E+00  0.3581192E+00  0.3567770E+00  0.1811047E+00  0.4712800E-01  0.6310694E-02  0.4357204E-03  0.1580542E-04
 0.3400000E+01  0.8928839E-05  0.3294884E-03  0.5672447E-02  0.4604548E-01  0.1819417E+00  0.3579230E+00  0.3564131E+00  0.1816112E+00  0.4767460E-01  0.6473691E-02  0.4564069E-03  0.1684393E-04
 0.3600000E+01  0.8806664E-05  0.3339172E-03  0.5743876E-02  0.4644489E-01  0.1825334E+00  0.3577140E+00  0.3560278E+00  0.1821455E+00  0.4825612E-01  0.6649318E-02  0.4791328E-03  0.1804844E-04
 0.3800000E+01  0.8707110E-05  0.3387117E-03  0.5820982E-02  0.4687286E-01  0.1831598E+00  0.3574922E+00  0.3556212E+00  0.1827071E+00  0.4887283E-01  0.6838121E-02  0.5040278E-03  0.1944191E-04
 0.4000000E+01  0.8649278E-05  0.3438476E-03  0.5904161E-02  0.4733033E-01  0.1838209E+00  0.3572574E+00  0.3551937E+00  0.1832953E+00  0.4952502E-01  0.7040693E-02  0.5312367E-03  0.2104535E-04
 0.4200000E+01  0.8652125E-05  0.3492960E-03  0.5993863E-02  0.4781833E-01  0.1845169E+00  0.3570094E+00  0.3547453E+00  0.1839097E+00  0.5021295E-01  0.7257664E-02  0.5609222E-03  0.2287772E-04
 0.4400000E+01  0.8731805E-05  0.3550254E-03  0.6090598E-02  0.4833794E-01  0.1852480E+00  0.3567480E+00  0.3542762E+00  0.1845496E+00  0.5093692E-01  0.7489710E-02  0.5932673E-03  0.2495637E-04
