 0.2000000E+00  0.2301687E+00  0.1780117E+00  0.1309910E+00  0.8860064E-01  0.5038476E-01  0.1593226E-01 -0.1512745E-01 -0.4312849E-01 -0.6837206E-01 -0.9112970E-01 -0.1116462E+00 -0.1301423E+00
 0.4000000E+00  0.4603103E+00  0.3560046E+00  0.2619694E+00  0.1771936E+00  0.1007656E+00  0.3186341E-01 -0.3025395E-01 -0.8625453E-01 -0.1367406E+00 -0.1822552E+00 -0.2232878E+00 -0.2602797E+00
 0.6000000E+00  0.6903978E+00  0.5339596E+00  0.3929228E+00  0.2657714E+00  0.1511386E+00  0.4779232E-01 -0.4537854E-01 -0.1293757E+00 -0.2051021E+00 -0.2733722E+00 -0.3349200E+00 -0.3904073E+00
 0.8000000E+00  0.9204040E+00  0.7118581E+00  0.5238386E+00  0.3543262E+00  0.2014999E+00  0.6371789E-01 -0.6050026E-01 -0.1724894E+00 -0.2734531E+00 -0.3644766E+00 -0.4465383E+00 -0.5205203E+00
 0.1000000E+01  0.1150302E+01  0.8896810E+00  0.6547043E+00  0.4428504E+00  0.2518455E+00  0.7963898E-01 -0.7561815E-01 -0.2155933E+00 -0.3417901E+00 -0.4555641E+00 -0.5581379E+00 -0.6506136E+00
 0.1200000E+01  0.1380064E+01  0.1067410E+01  0.7855074E+00  0.5313365E+00  0.3021715E+00  0.9555450E-01 -0.9073127E-01 -0.2586850E+00 -0.4101095E+00 -0.5466305E+00 -0.6697142E+00 -0.7806824E+00
 0.1400000E+01  0.1609665E+01  0.1245025E+01  0.9162354E+00  0.6197767E+00  0.3524740E+00  0.1114633E+00 -0.1058387E+00 -0.3017619E+00 -0.4784078E+00 -0.6376716E+00 -0.7812625E+00 -0.9107219E+00
 0.1600000E+01  0.1839076E+01  0.1422508E+01  0.1046876E+01  0.7081636E+00  0.4027492E+00  0.1273643E+00 -0.1209393E+00 -0.3448216E+00 -0.5466815E+00 -0.7286832E+00 -0.8927783E+00 -0.1040727E+01
 0.1800000E+01  0.2068271E+01  0.1599841E+01  0.1177416E+01  0.7964894E+00  0.4529930E+00  0.1432564E+00 -0.1360324E+00 -0.3878617E+00 -0.6149272E+00 -0.8196610E+00 -0.1004257E+01 -0.1170693E+01
 0.2000000E+01  0.2297223E+01  0.1777004E+01  0.1307844E+01  0.8847466E+00  0.5032016E+00  0.1591385E+00 -0.1511169E+00 -0.4308796E+00 -0.6831413E+00 -0.9106008E+00 -0.1115693E+01 -0.1300615E+01
 0.2200000E+01  0.2525906E+01  0.1953979E+01  0.1438147E+01  0.9729275E+00  0.5533712E+00  0.1750093E+00 -0.1661918E+00 -0.4738730E+00 -0.7513202E+00 -0.1001498E+01 -0.1227083E+01 -0.1430488E+01
 0.2400000E+01  0.2754292E+01  0.2130747E+01  0.1568313E+01  0.1061025E+01  0.6034977E+00  0.1908680E+00 -0.1812562E+00 -0.5168394E+00 -0.8194606E+00 -0.1092350E+01 -0.1338422E+01 -0.1560307E+01
 0.2600000E+01  0.2982355E+01  0.2307290E+01  0.1698329E+01  0.1149030E+01  0.6535774E+00  0.2067132E+00 -0.1963091E+00 -0.5597764E+00 -0.8875588E+00 -0.1183150E+01 -0.1449704E+01 -0.1690067E+01
 0.2800000E+01  0.3210068E+01  0.2483589E+01  0.1828182E+01  0.1236937E+01  0.7036063E+00  0.2225440E+00 -0.2113497E+00 -0.6026814E+00 -0.9556113E+00 -0.1273896E+01 -0.1560926E+01 -0.1819763E+01
 0.3000000E+01  0.3437406E+01  0.2659625E+01  0.1957862E+01  0.1324738E+01  0.7535805E+00  0.2383592E+00 -0.2263768E+00 -0.6455520E+00 -0.1023615E+01 -0.1364582E+01 -0.1672083E+01 -0.1949391E+01
