 0.1000000E-02  0.2004934E+01  0.2004894E+01  0.2002687E+01  0.2001086E+01  0.2000041E+01  0.1999498E+01  0.1999406E+01  0.1999712E+01  0.2000364E+01  0.2001310E+01  0.2002497E+01  0.2003873E+01  0.2005387E+01  0.2006985E+01  0.2008615E+01  0.2013053E+01
 0.2000000E-02  0.2009841E+01  0.2009765E+01  0.2005354E+01  0.2002156E+01  0.2000069E+01  0.1998986E+01  0.1998805E+01  0.1999419E+01  0.2000725E+01  0.2002618E+01  0.2004994E+01  0.2007747E+01  0.2010775E+01  0.2013971E+01  0.2017232E+01  0.2026107E+01
 0.3000000E-02  0.2014720E+01  0.2014612E+01  0.2008001E+01  0.2003211E+01  0.2000084E+01  0.1998465E+01  0.1998196E+01  0.1999121E+01  0.2001083E+01  0.2003925E+01  0.2007490E+01  0.2011622E+01  0.2016164E+01  0.2020960E+01  0.2025851E+01  0.2039163E+01
 0.4000000E-02  0.2019571E+01  0.2019436E+01  0.2010629E+01  0.2004249E+01  0.2000087E+01  0.1997934E+01  0.1997580E+01  0.1998818E+01  0.2001438E+01  0.2005230E+01  0.2009987E+01  0.2015498E+01  0.2021556E+01  0.2027950E+01  0.2034472E+01  0.2052221E+01
 0.5000000E-02  0.2024395E+01  0.2024237E+01  0.2013238E+01  0.2005272E+01  0.2000077E+01  0.1997393E+01  0.1996957E+01  0.1998510E+01  0.2001790E+01  0.2006534E+01  0.2012483E+01  0.2019375E+01  0.2026948E+01  0.2034942E+01  0.2043095E+01  0.2065280E+01
 0.6000000E-02  0.2029191E+01  0.2029014E+01  0.2015827E+01  0.2006279E+01  0.2000054E+01  0.1996842E+01  0.1996327E+01  0.1998197E+01  0.2002138E+01  0.2007837E+01  0.2014980E+01  0.2023253E+01  0.2032343E+01  0.2041936E+01  0.2051720E+01  0.2078340E+01
 0.7000000E-02  0.2033960E+01  0.2033767E+01  0.2018398E+01  0.2007270E+01  0.2000020E+01  0.1996282E+01  0.1995690E+01  0.1997880E+01  0.2002484E+01  0.2009138E+01  0.2017476E+01  0.2027131E+01  0.2037738E+01  0.2048932E+01  0.2060347E+01  0.2091402E+01
 0.8000000E-02  0.2038702E+01  0.2038498E+01  0.2020949E+01  0.2008245E+01  0.1999972E+01  0.1995712E+01  0.1995046E+01  0.1997557E+01  0.2002827E+01  0.2010438E+01  0.2019972E+01  0.2031010E+01  0.2043136E+01  0.2055929E+01  0.2068977E+01  0.2104465E+01
 0.9000000E-02  0.2043416E+01  0.2043205E+01  0.2023481E+01  0.2009205E+01  0.1999912E+01  0.1995132E+01  0.1994395E+01  0.1997229E+01  0.2003167E+01  0.2011736E+01  0.2022468E+01  0.2034890E+01  0.2048534E+01  0.2062929E+01  0.2077608E+01  0.2117529E+01
 0.1000000E-01  0.2048103E+01  0.2047889E+01  0.2025994E+01  0.2010150E+01  0.1999840E+01  0.1994543E+01  0.1993736E+01  0.1996897E+01  0.2003504E+01  0.2013033E+01  0.2024963E+01  0.2038771E+01  0.2053934E+01  0.2069930E+01  0.2086241E+01  0.2130594E+01
 0.1100000E-01  0.2052763E+01  0.2052549E+01  0.2028488E+01  0.2011079E+01  0.1999756E+01  0.1993945E+01  0.1993071E+01  0.1996560E+01  0.2003838E+01  0.2014329E+01  0.2027459E+01  0.2042653E+01  0.2059336E+01  0.2076933E+01  0.2094877E+01  0.2143661E+01
 0.1200000E-01  0.2057396E+01  0.2057186E+01  0.2030963E+01  0.2011993E+01  0.1999660E+01  0.1993337E+01  0.1992399E+01  0.1996218E+01  0.2004168E+01  0.2015623E+01  0.2029954E+01  0.2046535E+01  0.2064739E+01  0.2083938E+01  0.2103514E+01  0.2156728E+01
