 0.2000000E+00  0.6755340E-01  0.4233038E-01  0.2443831E-01  0.1234157E-01  0.4813812E-02  0.8762209E-03 -0.2517359E-03  0.8092460E-03  0.3565765E-02  0.7627051E-02  0.1268430E-01  0.1849284E-01
 0.4000000E+00  0.1350981E+00  0.8465695E-01  0.4887540E-01  0.2468312E-01  0.9628013E-02  0.1752757E-02 -0.5034837E-03  0.1617977E-02  0.7130423E-02  0.1525232E-01  0.2536610E-01  0.3698239E-01
 0.6000000E+00  0.2026253E+00  0.1269758E+00  0.7331002E-01  0.3702464E-01  0.1444300E-01  0.2629951E-02 -0.7552742E-03  0.2425689E-02  0.1069283E-01  0.2287402E-01  0.3804287E-01  0.5546544E-01
 0.8000000E+00  0.2701264E+00  0.1692833E+00  0.9774092E-01  0.4936612E-01  0.1925918E-01  0.3508123E-02 -0.1007109E-02  0.3231826E-02  0.1425188E-01  0.3049038E-01  0.5071216E-01  0.7393878E-01
 0.1000000E+01  0.3375926E+00  0.2115754E+00  0.1221669E+00  0.6170755E-01  0.2407694E-01  0.4387610E-02 -0.1259003E-02  0.4035880E-02  0.1780644E-01  0.3809960E-01  0.6337148E-01  0.9239920E-01
 0.1200000E+01  0.4050153E+00  0.2538483E+00  0.1465867E+00  0.7404894E-01  0.2889668E-01  0.5268731E-02 -0.1510981E-02  0.4837323E-02  0.2135539E-01  0.4569991E-01  0.7601835E-01  0.1108435E+00
 0.1400000E+01  0.4723857E+00  0.2960984E+00  0.1709991E+00  0.8639024E-01  0.3371880E-01  0.6151824E-02 -0.1763044E-02  0.5635642E-02  0.2489759E-01  0.5328952E-01  0.8865029E-01  0.1292685E+00
 0.1600000E+01  0.5396953E+00  0.3383217E+00  0.1954029E+00  0.9873149E-01  0.3854368E-01  0.7037205E-02 -0.2015231E-02  0.6430319E-02  0.2843196E-01  0.6086665E-01  0.1012648E+00  0.1476711E+00
 0.1800000E+01  0.6069354E+00  0.3805145E+00  0.2197968E+00  0.1110726E+00  0.4337173E-01  0.7925196E-02 -0.2267551E-02  0.7220815E-02  0.3195736E-01  0.6842955E-01  0.1138595E+00  0.1660479E+00
 0.2000000E+01  0.6740976E+00  0.4226730E+00  0.2441797E+00  0.1234137E+00  0.4820335E-01  0.8816131E-02 -0.2520010E-02  0.8006623E-02  0.3547269E-01  0.7597644E-01  0.1264318E+00  0.1843960E+00
 0.2200000E+01  0.7411733E+00  0.4647936E+00  0.2685504E+00  0.1357547E+00  0.5303893E-01  0.9710337E-02 -0.2772636E-02  0.8787236E-02  0.3897683E-01  0.8350556E-01  0.1389794E+00  0.2027120E+00
 0.2400000E+01  0.8081542E+00  0.5068725E+00  0.2929076E+00  0.1480955E+00  0.5787885E-01  0.1060814E-01 -0.3025435E-02  0.9562128E-02  0.4246868E-01  0.9101518E-01  0.1514997E+00  0.2209929E+00
 0.2600000E+01  0.8750318E+00  0.5489060E+00  0.3172502E+00  0.1604363E+00  0.6272350E-01  0.1150985E-01 -0.3278437E-02  0.1033080E-01  0.4594714E-01  0.9850355E-01  0.1639905E+00  0.2392356E+00
