-0.7447829E+01 -0.7141646E+01 -0.6835457E+01 -0.6529268E+01 -0.6223080E+01 -0.5916892E+01 -0.5610706E+01 -0.5304520E+01 -0.4998333E+01 -0.4692147E+01 -0.4385961E+01 -0.4079774E+01 -0.3773589E+01 -0.3467404E+01 -0.3161221E+01 -0.2855038E+01 -0.2548848E+01  0.1660328E+01  0.1657693E+01  0.1660455E+01  0.1663486E+01  0.1665342E+01  0.1666179E+01  0.1666491E+01  0.1666629E+01  0.1666754E+01  0.1666909E+01  0.1667041E+01  0.1666965E+01  0.1666286E+01  0.1664469E+01  0.1661401E+01  0.1658830E+01  0.1662672E+01
-0.7446168E+01 -0.7139988E+01 -0.6833797E+01 -0.6527605E+01 -0.6221415E+01 -0.5915227E+01 -0.5609040E+01 -0.5302853E+01 -0.4996666E+01 -0.4690480E+01 -0.4384293E+01 -0.4078107E+01 -0.3771922E+01 -0.3465739E+01 -0.3159559E+01 -0.2853379E+01 -0.2547186E+01  0.1660983E+01  0.1657634E+01  0.1659956E+01  0.1662853E+01  0.1664763E+01  0.1665735E+01  0.1666199E+01  0.1666487E+01  0.1666757E+01  0.1667057E+01  0.1667340E+01  0.1667414E+01  0.1666861E+01  0.1665078E+01  0.1661850E+01  0.1658841E+01  0.1662082E+01
-0.7444509E+01 -0.7138331E+01 -0.6832137E+01 -0.6525942E+01 -0.6219750E+01 -0.5913561E+01 -0.5607374E+01 -0.5301187E+01 -0.4995000E+01 -0.4688813E+01 -0.4382626E+01 -0.4076439E+01 -0.3770255E+01 -0.3464074E+01 -0.3157897E+01 -0.2851719E+01 -0.2545522E+01  0.1659678E+01  0.1656982E+01  0.1659443E+01  0.1662347E+01  0.1664288E+01  0.1665343E+01  0.1665926E+01  0.1666349E+01  0.1666760E+01  0.1667200E+01  0.1667618E+01  0.1667810E+01  0.1667332E+01  0.1665559E+01  0.1662290E+01  0.1659342E+01  0.1663156E+01
-0.7442848E+01 -0.7136674E+01 -0.6830479E+01 -0.6524281E+01 -0.6218087E+01 -0.5911896E+01 -0.5605708E+01 -0.5299521E+01 -0.4993333E+01 -0.4687145E+01 -0.4380958E+01 -0.4074771E+01 -0.3768587E+01 -0.3462408E+01 -0.3156234E+01 -0.2850060E+01 -0.2543860E+01  0.1660352E+01  0.1656891E+01  0.1658916E+01  0.1661702E+01  0.1663709E+01  0.1664903E+01  0.1665640E+01  0.1666211E+01  0.1666767E+01  0.1667353E+01  0.1667921E+01  0.1668263E+01  0.1667905E+01  0.1666153E+01  0.1662706E+01  0.1659319E+01  0.1662592E+01
-0.7441190E+01 -0.7135018E+01 -0.6828820E+01 -0.6522620E+01 -0.6216424E+01 -0.5910232E+01 -0.5604043E+01 -0.5297854E+01 -0.4991666E+01 -0.4685478E+01 -0.4379289E+01 -0.4073102E+01 -0.3766918E+01 -0.3460741E+01 -0.3154571E+01 -0.2848400E+01 -0.2542196E+01  0.1658898E+01  0.1656147E+01  0.1658358E+01  0.1661177E+01  0.1663227E+01  0.1664507E+01  0.1665364E+01  0.1666071E+01  0.1666767E+01  0.1667493E+01  0.1668197E+01  0.1668655E+01  0.1668367E+01  0.1666610E+01  0.1663096E+01  0.1659733E+01  0.1663555E+01
-0.7439530E+01 -0.7133362E+01 -0.6827162E+01 -0.6520959E+01 -0.6214761E+01 -0.5908568E+01 -0.5602378E+01 -0.5296189E+01 -0.4989999E+01 -0.4683810E+01 -0.4377621E+01 -0.4071433E+01 -0.3765249E+01 -0.3459074E+01 -0.3152908E+01 -0.2846741E+01 -0.2540533E+01  0.1659592E+01  0.1656027E+01  0.1657806E+01  0.1660522E+01  0.1662648E+01  0.1664072E+01  0.1665082E+01  0.1665938E+01  0.1666778E+01  0.1667650E+01  0.1668504E+01  0.1669110E+01  0.1668936E+01  0.1667187E+01  0.1663477E+01  0.1659673E+01  0.1663021E+01
-0.7437872E+01 -0.7131707E+01 -0.6825505E+01 -0.6519299E+01 -0.6213099E+01 -0.5906904E+01 -0.5600713E+01 -0.5294523E+01 -0.4988333E+01 -0.4682142E+01 -0.4375952E+01 -0.4069764E+01 -0.3763580E+01 -0.3457406E+01 -0.3151244E+01 -0.2845081E+01 -0.2538869E+01  0.1657983E+01  0.1655191E+01  0.1657205E+01  0.1659980E+01  0.1662159E+01  0.1663672E+01  0.1664803E+01  0.1665794E+01  0.1666775E+01  0.1667788E+01  0.1668777E+01  0.1669498E+01  0.1669388E+01  0.1667620E+01  0.1663817E+01  0.1660002E+01  0.1663882E+01
-0.7436213E+01 -0.7130052E+01 -0.6823849E+01 -0.6517640E+01 -0.6211437E+01 -0.5905241E+01 -0.5599048E+01 -0.5292857E+01 -0.4986666E+01 -0.4680474E+01 -0.4374283E+01 -0.4068094E+01 -0.3761910E+01 -0.3455738E+01 -0.3149580E+01 -0.2843421E+01 -0.2537206E+01  0.1658699E+01  0.1655048E+01  0.1656632E+01  0.1659317E+01  0.1661582E+01  0.1663242E+01  0.1664527E+01  0.1665665E+01  0.1666790E+01  0.1667949E+01  0.1669089E+01  0.1669956E+01  0.1669952E+01  0.1668177E+01  0.1664160E+01  0.1659906E+01  0.1663384E+01
-0.7434556E+01 -0.7128398E+01 -0.6822193E+01 -0.6515981E+01 -0.6209776E+01 -0.5903578E+01 -0.5597384E+01 -0.5291192E+01 -0.4984999E+01 -0.4678806E+01 -0.4372614E+01 -0.4066423E+01 -0.3760240E+01 -0.3454069E+01 -0.3147915E+01 -0.2841761E+01 -0.2535542E+01  0.1656928E+01  0.1654120E+01  0.1655988E+01  0.1658759E+01  0.1661086E+01  0.1662839E+01  0.1664244E+01  0.1665518E+01  0.1666785E+01  0.1668085E+01  0.1669359E+01  0.1670339E+01  0.1670394E+01  0.1668586E+01  0.1664449E+01  0.1660152E+01  0.1664155E+01
-0.7432899E+01 -0.7126744E+01 -0.6820537E+01 -0.6514323E+01 -0.6208116E+01 -0.5901916E+01 -0.5595720E+01 -0.5289526E+01 -0.4983332E+01 -0.4677138E+01 -0.4370944E+01 -0.4064753E+01 -0.3758569E+01 -0.3452400E+01 -0.3146251E+01 -0.2840101E+01 -0.2533878E+01  0.1657669E+01  0.1653958E+01  0.1655398E+01  0.1658090E+01  0.1660512E+01  0.1662414E+01  0.1663974E+01  0.1665395E+01  0.1666804E+01  0.1668250E+01  0.1669675E+01  0.1670798E+01  0.1670952E+01  0.1669122E+01  0.1664753E+01  0.1660018E+01  0.1663698E+01
