 0.0000000E+00  0.8986658E-03  0.4838805E-02  0.1752951E-01  0.5746477E-01  0.1597488E+00  0.3522518E+00  0.6131127E+00  0.8506144E+00  0.9478707E+00  0.8506144E+00  0.6131127E+00  0.3522518E+00  0.1597488E+00  0.5746477E-01  0.1752951E-01  0.4838805E-02  0.8986658E-03
 0.1000000E-02  0.8473900E-03  0.4621737E-02  0.1691511E-01  0.5577172E-01  0.1558580E+00  0.3457090E+00  0.6054507E+00  0.8452034E+00  0.9476725E+00  0.8557221E+00  0.6206739E+00  0.3588570E+00  0.1637458E+00  0.5922398E-01  0.1816641E-01  0.5064250E-02  0.9533177E-03
 0.2000000E-02  0.8153044E-03  0.4490256E-02  0.1650076E-01  0.5454221E-01  0.1530773E+00  0.3412000E+00  0.6003625E+00  0.8417984E+00  0.9478400E+00  0.8594397E+00  0.6260071E+00  0.3635111E+00  0.1665780E+00  0.6045551E-01  0.1857834E-01  0.5199542E-02  0.9874164E-03
 0.3000000E-02  0.7997352E-03  0.4413889E-02  0.1631756E-01  0.5412229E-01  0.1520497E+00  0.3392463E+00  0.5977866E+00  0.8396685E+00  0.9472893E+00  0.8607010E+00  0.6282290E+00  0.3655434E+00  0.1678294E+00  0.6102941E-01  0.1881977E-01  0.5298399E-02  0.1011593E-02
 0.4000000E-02  0.7687561E-03  0.4285188E-02  0.1590397E-01  0.5289684E-01  0.1492993E+00  0.3348109E+00  0.5928052E+00  0.8363747E+00  0.9475529E+00  0.8644992E+00  0.6336303E+00  0.3702471E+00  0.1706867E+00  0.6226737E-01  0.1923340E-01  0.5436498E-02  0.1047042E-02
 0.5000000E-02  0.7556037E-03  0.4215326E-02  0.1573686E-01  0.5251517E-01  0.1483221E+00  0.3328651E+00  0.5901263E+00  0.8340170E+00  0.9467252E+00  0.8655512E+00  0.6357769E+00  0.3723118E+00  0.1720024E+00  0.6288313E-01  0.1948992E-01  0.5541164E-02  0.1073546E-02
 0.6000000E-02  0.7256338E-03  0.4089313E-02  0.1532373E-01  0.5129326E-01  0.1456035E+00  0.3285091E+00  0.5852604E+00  0.8308409E+00  0.9470838E+00  0.8694220E+00  0.6412367E+00  0.3770595E+00  0.1748838E+00  0.6412836E-01  0.1990553E-01  0.5682045E-02  0.1110389E-02
 0.7000000E-02  0.7148783E-03  0.4026079E-02  0.1517305E-01  0.5094908E-01  0.1446736E+00  0.3265659E+00  0.5824738E+00  0.8282536E+00  0.9459810E+00  0.8702688E+00  0.6433128E+00  0.3791606E+00  0.1762664E+00  0.6478691E-01  0.2017706E-01  0.5792394E-02  0.1139208E-02
 0.8000000E-02  0.6858096E-03  0.3902633E-02  0.1476008E-01  0.4973030E-01  0.1419883E+00  0.3222950E+00  0.5777320E+00  0.8252012E+00  0.9464335E+00  0.8742041E+00  0.6488218E+00  0.3839468E+00  0.1791709E+00  0.6604031E-01  0.2059497E-01  0.5936014E-02  0.1177477E-02
 0.9000000E-02  0.6774211E-03  0.3846146E-02  0.1462619E-01  0.4942287E-01  0.1411021E+00  0.3203490E+00  0.5748331E+00  0.8223831E+00  0.9450577E+00  0.8748501E+00  0.6508320E+00  0.3860881E+00  0.1806227E+00  0.6674262E-01  0.2088150E-01  0.6051923E-02  0.1208594E-02
 0.1000000E-01  0.6491363E-03  0.3725114E-02  0.1421304E-01  0.4820686E-01  0.1384518E+00  0.3161690E+00  0.5702237E+00  0.8194601E+00  0.9456025E+00  0.8788417E+00  0.6563808E+00  0.3909074E+00  0.1835497E+00  0.6800519E-01  0.2130204E-01  0.6198223E-02  0.1248311E-02
 0.1100000E-01  0.6430735E-03  0.3675486E-02  0.1409634E-01  0.4793546E-01  0.1376058E+00  0.3142147E+00  0.5672080E+00  0.8164103E+00  0.9439568E+00  0.8792916E+00  0.6583296E+00  0.3930924E+00  0.1850729E+00  0.6875224E-01  0.2160362E-01  0.6319571E-02  0.1281706E-02
 0.1200000E-01  0.6154475E-03  0.3556683E-02  0.1368266E-01  0.4672198E-01  0.1349923E+00  0.3101312E+00  0.5627390E+00  0.8136218E+00  0.9445919E+00  0.8833311E+00  0.6639088E+00  0.3979393E+00  0.1880216E+00  0.7002502E-01  0.2202714E-01  0.6468478E-02  0.1322884E-02
 0.1300000E-01  0.6116572E-03  0.3514021E-02  0.1358360E-01  0.4648592E-01  0.1341831E+00  0.3081631E+00  0.5596021E+00  0.8103399E+00  0.9426795E+00  0.8835899E+00  0.6658008E+00  0.4001713E+00  0.1896184E+00  0.7081783E-01  0.2234388E-01  0.6595148E-02  0.1358535E-02
 0.1400000E-01  0.5845590E-03  0.3397227E-02  0.1316902E-01  0.4527478E-01  0.1316083E+00  0.3041817E+00  0.5552812E+00  0.8076909E+00  0.9434028E+00  0.8876687E+00  0.6714009E+00  0.4050405E+00  0.1925881E+00  0.7210194E-01  0.2277078E-01  0.6746579E-02  0.1401178E-02
 0.1500000E-01  0.5829755E-03  0.3361624E-02  0.1308804E-01  0.4507337E-01  0.1308320E+00  0.3021940E+00  0.5520190E+00  0.8041770E+00  0.9412277E+00  0.8877417E+00  0.6732406E+00  0.4073225E+00  0.1942603E+00  0.7294155E-01  0.2310285E-01  0.6878459E-02  0.1439059E-02
