 0.0000000E+00  0.2008643E-09  0.3343223E-08  0.4680237E-07  0.5343835E-06  0.4980939E-05  0.3789920E-04  0.2354048E-03  0.1193639E-02  0.4940896E-02  0.1669593E-01  0.4605557E-01  0.1037086E+00  0.1906371E+00  0.2860643E+00  0.3504204E+00  0.3504204E+00  0.2860643E+00  0.1906371E+00  0.1037086E+00  0.4605557E-01  0.1669593E-01  0.4940896E-02  0.1193639E-02  0.2354048E-03  0.3789920E-04  0.4980939E-05  0.5343835E-06  0.4680237E-07  0.3343223E-08  0.2008643E-09
 0.1000000E-02  0.2008668E-09  0.3343266E-08  0.4680285E-07  0.5343877E-06  0.4980970E-05  0.3789938E-04  0.2354057E-03  0.1193643E-02  0.4940906E-02  0.1669596E-01  0.4605563E-01  0.1037087E+00  0.1906373E+00  0.2860645E+00  0.3504206E+00  0.3504206E+00  0.2860645E+00  0.1906373E+00  0.1037087E+00  0.4605563E-01  0.1669596E-01  0.4940906E-02  0.1193642E-02  0.2354053E-03  0.3789890E-04  0.4980887E-05  0.5344209E-06  0.4680040E-07  0.3344800E-08  0.2007516E-09
 0.2000000E-02  0.2008686E-09  0.3343321E-08  0.4680344E-07  0.5343932E-06  0.4981010E-05  0.3789962E-04  0.2354069E-03  0.1193647E-02  0.4940922E-02  0.1669600E-01  0.4605572E-01  0.1037089E+00  0.1906375E+00  0.2860648E+00  0.3504210E+00  0.3504210E+00  0.2860648E+00  0.1906375E+00  0.1037089E+00  0.4605572E-01  0.1669600E-01  0.4940921E-02  0.1193646E-02  0.2354055E-03  0.3789776E-04  0.4980713E-05  0.5345338E-06  0.4679381E-07  0.3349474E-08  0.2003357E-09
 0.3000000E-02  0.2008697E-09  0.3343387E-08  0.4680415E-07  0.5343999E-06  0.4981061E-05  0.3789993E-04  0.2354084E-03  0.1193654E-02  0.4940942E-02  0.1669605E-01  0.4605584E-01  0.1037091E+00  0.1906379E+00  0.2860652E+00  0.3504215E+00  0.3504215E+00  0.2860652E+00  0.1906379E+00  0.1037091E+00  0.4605584E-01  0.1669605E-01  0.4940941E-02  0.1193652E-02  0.2354052E-03  0.3789578E-04  0.4980417E-05  0.5347224E-06  0.4678266E-07  0.3357125E-08  0.1995566E-09
 0.4000000E-02  0.2008701E-09  0.3343463E-08  0.4680499E-07  0.5344078E-06  0.4981121E-05  0.3790030E-04  0.2354103E-03  0.1193661E-02  0.4940967E-02  0.1669612E-01  0.4605599E-01  0.1037094E+00  0.1906383E+00  0.2860658E+00  0.3504222E+00  0.3504222E+00  0.2860658E+00  0.1906383E+00  0.1037094E+00  0.4605599E-01  0.1669612E-01  0.4940966E-02  0.1193658E-02  0.2354046E-03  0.3789294E-04  0.4980004E-05  0.5349869E-06  0.4676705E-07  0.3367627E-08  0.1983628E-09
 0.5000000E-02  0.2008698E-09  0.3343551E-08  0.4680594E-07  0.5344168E-06  0.4981191E-05  0.3790074E-04  0.2354125E-03  0.1193670E-02  0.4940997E-02  0.1669621E-01  0.4605618E-01  0.1037098E+00  0.1906389E+00  0.2860666E+00  0.3504230E+00  0.3504230E+00  0.2860666E+00  0.1906389E+00  0.1037098E+00  0.4605618E-01  0.1669621E-01  0.4940995E-02  0.1193665E-02  0.2354036E-03  0.3788925E-04  0.4979475E-05  0.5353272E-06  0.4674711E-07  0.3380844E-08  0.1967105E-09
 0.6000000E-02  0.2008688E-09  0.3343649E-08  0.4680700E-07  0.5344271E-06  0.4981270E-05  0.3790123E-04  0.2354150E-03  0.1193680E-02  0.4941032E-02  0.1669630E-01  0.4605640E-01  0.1037102E+00  0.1906395E+00  0.2860674E+00  0.3504240E+00  0.3504240E+00  0.2860674E+00  0.1906395E+00  0.1037102E+00  0.4605640E-01  0.1669630E-01  0.4941029E-02  0.1193672E-02  0.2354022E-03  0.3788469E-04  0.4978833E-05  0.5357432E-06  0.4672297E-07  0.3396634E-08  0.1945642E-09
 0.7000000E-02  0.2008671E-09  0.3343758E-08  0.4680819E-07  0.5344386E-06  0.4981359E-05  0.3790179E-04  0.2354178E-03  0.1193692E-02  0.4941072E-02  0.1669641E-01  0.4605665E-01  0.1037106E+00  0.1906403E+00  0.2860684E+00  0.3504251E+00  0.3504251E+00  0.2860684E+00  0.1906403E+00  0.1037106E+00  0.4605666E-01  0.1669642E-01  0.4941068E-02  0.1193681E-02  0.2354003E-03  0.3787926E-04  0.4978081E-05  0.5362348E-06  0.4669479E-07  0.3414856E-08  0.1918965E-09
 0.8000000E-02  0.2008647E-09  0.3343878E-08  0.4680949E-07  0.5344512E-06  0.4981458E-05  0.3790242E-04  0.2354210E-03  0.1193705E-02  0.4941117E-02  0.1669654E-01  0.4605694E-01  0.1037112E+00  0.1906411E+00  0.2860695E+00  0.3504264E+00  0.3504264E+00  0.2860695E+00  0.1906411E+00  0.1037112E+00  0.4605694E-01  0.1669654E-01  0.4941112E-02  0.1193691E-02  0.2353981E-03  0.3787295E-04  0.4977222E-05  0.5368019E-06  0.4666275E-07  0.3435362E-08  0.1886883E-09
 0.9000000E-02  0.2008616E-09  0.3344009E-08  0.4681092E-07  0.5344651E-06  0.4981567E-05  0.3790310E-04  0.2354245E-03  0.1193720E-02  0.4941166E-02  0.1669668E-01  0.4605726E-01  0.1037118E+00  0.1906421E+00  0.2860708E+00  0.3504279E+00  0.3504279E+00  0.2860708E+00  0.1906421E+00  0.1037118E+00  0.4605726E-01  0.1669668E-01  0.4941160E-02  0.1193702E-02  0.2353954E-03  0.3786576E-04  0.4976257E-05  0.5374440E-06  0.4662705E-07  0.3458009E-08  0.1849295E-09
