 0.2000000E+00 -0.3814391E-01 -0.3652118E-01 -0.3405944E-01 -0.3090121E-01 -0.2716554E-01 -0.2295183E-01 -0.1834301E-01 -0.1340825E-01 -0.8205145E-02 -0.2781653E-02  0.2822351E-02  0.8573746E-02  0.1444506E-01  0.2041352E-01  0.2646030E-01  0.3256985E-01  0.3872936E-01  0.4492829E-01  0.5115800E-01  0.5741142E-01
 0.4000000E+00 -0.7628457E-01 -0.7303956E-01 -0.6811649E-01 -0.6180041E-01 -0.5432942E-01 -0.4590233E-01 -0.3668502E-01 -0.2681579E-01 -0.1640988E-01 -0.5563174E-02  0.5644561E-02  0.1714709E-01  0.2888944E-01  0.4082611E-01  0.5291941E-01  0.6513826E-01  0.7745703E-01  0.8985464E-01  0.1023138E+00  0.1148204E+00
 0.6000000E+00 -0.1144188E+00 -0.1095523E+00 -0.1021687E+00 -0.9269557E-01 -0.8148998E-01 -0.6885019E-01 -0.5502501E-01 -0.4022193E-01 -0.2461378E-01 -0.8344431E-02  0.8466490E-02  0.2571961E-01  0.4333249E-01  0.6123684E-01  0.7937616E-01  0.9770381E-01  0.1161813E+00  0.1347771E+00  0.1534652E+00  0.1722245E+00
 0.8000000E+00 -0.1525433E+00 -0.1460567E+00 -0.1362138E+00 -0.1235847E+00 -0.1086456E+00 -0.9179407E-01 -0.7336199E-01 -0.5362596E-01 -0.3281645E-01 -0.1112529E-01  0.1128800E-01  0.3429091E-01  0.5777354E-01  0.8164480E-01  0.1058294E+00  0.1302650E+00  0.1549006E+00  0.1796938E+00  0.2046101E+00  0.2296213E+00
 0.1000000E+01 -0.1906548E+00 -0.1825498E+00 -0.1702493E+00 -0.1544657E+00 -0.1357945E+00 -0.1147327E+00 -0.9169494E-01 -0.6702718E-01 -0.4101747E-01 -0.1390562E-01  0.1410894E-01  0.4286059E-01  0.7221191E-01  0.1020490E+00  0.1322778E+00  0.1628205E+00  0.1936130E+00  0.2246027E+00  0.2557462E+00  0.2870083E+00
 0.1200000E+01 -0.2287502E+00 -0.2190290E+00 -0.2042728E+00 -0.1853367E+00 -0.1629352E+00 -0.1376646E+00 -0.1100229E+00 -0.8042488E-01 -0.4921642E-01 -0.1668529E-01  0.1692919E-01  0.5142823E-01  0.8664693E-01  0.1224487E+00  0.1587204E+00  0.1953689E+00  0.2323171E+00  0.2695019E+00  0.3068714E+00  0.3443832E+00
 0.1400000E+01 -0.2668261E+00 -0.2554914E+00 -0.2382820E+00 -0.2161956E+00 -0.1900659E+00 -0.1605887E+00 -0.1283448E+00 -0.9381836E-01 -0.5741290E-01 -0.1946417E-01  0.1974859E-01  0.5999343E-01  0.1010780E+00  0.1428427E+00  0.1851559E+00  0.2279086E+00  0.2710110E+00  0.3143895E+00  0.3579834E+00  0.4017434E+00
 0.1600000E+01 -0.3048795E+00 -0.2919341E+00 -0.2722744E+00 -0.2470404E+00 -0.2171850E+00 -0.1835035E+00 -0.1466596E+00 -0.1072069E+00 -0.6560649E-01 -0.2224212E-01  0.2256701E-01  0.6855579E-01  0.1155043E+00  0.1632303E+00  0.2115831E+00  0.2604383E+00  0.3096932E+00  0.3592636E+00  0.4090802E+00  0.4590866E+00
 0.1800000E+01 -0.3429070E+00 -0.3283545E+00 -0.3062476E+00 -0.2778692E+00 -0.2442908E+00 -0.2064077E+00 -0.1649664E+00 -0.1205899E+00 -0.7379679E-01 -0.2501902E-01  0.2538430E-01  0.7711490E-01  0.1299253E+00  0.1836105E+00  0.2380009E+00  0.2929565E+00  0.3483619E+00  0.4041221E+00  0.4601595E+00  0.5164103E+00
 0.2000000E+01 -0.3809054E+00 -0.3647497E+00 -0.3401994E+00 -0.3086798E+00 -0.2713818E+00 -0.2293000E+00 -0.1832642E+00 -0.1339665E+00 -0.8198338E-01 -0.2779474E-01  0.2820034E-01  0.8567035E-01  0.1443403E+00  0.2039824E+00  0.2644081E+00  0.3254618E+00  0.3870154E+00  0.4489633E+00  0.5112191E+00  0.5737121E+00
 0.2200000E+01 -0.4188716E+00 -0.4011170E+00 -0.3741273E+00 -0.3394703E+00 -0.2984562E+00 -0.2521791E+00 -0.2015520E+00 -0.1473361E+00 -0.9016585E-01 -0.3056913E-01  0.3101497E-01  0.9422174E-01  0.1587486E+00  0.2243450E+00  0.2908034E+00  0.3579528E+00  0.4256521E+00  0.4937851E+00  0.5622569E+00  0.6309895E+00
 0.2400000E+01 -0.4568023E+00 -0.4374536E+00 -0.4080289E+00 -0.3702387E+00 -0.3255125E+00 -0.2750437E+00 -0.2198287E+00 -0.1606981E+00 -0.9834381E-01 -0.3334207E-01  0.3382807E-01  0.1027687E+00  0.1731496E+00  0.2446974E+00  0.3171859E+00  0.3904281E+00  0.4642703E+00  0.5385858E+00  0.6132707E+00  0.6882403E+00
 0.2600000E+01 -0.4946943E+00 -0.4737567E+00 -0.4419019E+00 -0.4009831E+00 -0.3525489E+00 -0.2978926E+00 -0.2380934E+00 -0.1740516E+00 -0.1065168E+00 -0.3611344E-01  0.3663948E-01  0.1113108E+00  0.1875427E+00  0.2650389E+00  0.3435542E+00  0.4228863E+00  0.5028684E+00  0.5833632E+00  0.6642584E+00  0.7454620E+00
 0.2800000E+01 -0.5325445E+00 -0.5100235E+00 -0.4757439E+00 -0.4317014E+00 -0.3795638E+00 -0.3207242E+00 -0.2563452E+00 -0.1873960E+00 -0.1146845E+00 -0.3888310E-01  0.3944908E-01  0.1198476E+00  0.2019270E+00  0.2853683E+00  0.3699072E+00  0.4553259E+00  0.5414446E+00  0.6281156E+00  0.7152178E+00  0.8026521E+00
