 0.2000000E+00  0.2132487E+00  0.1557738E+00  0.1112538E+00  0.7696264E-01  0.5072988E-01  0.3082961E-01  0.1589084E-01  0.4825953E-02 -0.3226607E-02 -0.8948136E-02 -0.1287634E-01 -0.1543465E-01 -0.1695563E-01 -0.1769967E-01 -0.1786995E-01 -0.1762432E-01
 0.4000000E+00  0.4264694E+00  0.3115316E+00  0.2224989E+00  0.1539206E+00  0.1014574E+00  0.6165815E-01  0.3178128E-01  0.9651815E-02 -0.6453170E-02 -0.1789619E-01 -0.2575260E-01 -0.3086925E-01 -0.3391122E-01 -0.3539933E-01 -0.3573991E-01 -0.3524865E-01
 0.6000000E+00  0.6396341E+00  0.4672578E+00  0.3337265E+00  0.2308693E+00  0.1521803E+00  0.9248455E-01  0.4767088E-01  0.1447749E-01 -0.9679644E-02 -0.2684407E-01 -0.3862870E-01 -0.4630371E-01 -0.5086674E-01 -0.5309896E-01 -0.5360987E-01 -0.5287302E-01
 0.8000000E+00  0.8527149E+00  0.6229363E+00  0.4449278E+00  0.3078041E+00  0.2028962E+00  0.1233077E+00  0.6355926E-01  0.1930289E-01 -0.1290599E-01 -0.3579169E-01 -0.5150455E-01 -0.6173800E-01 -0.6782215E-01 -0.7079854E-01 -0.7147984E-01 -0.7049742E-01
 0.1000000E+01  0.1065684E+01  0.7785513E+00  0.5560940E+00  0.3847202E+00  0.2536027E+00  0.1541266E+00  0.7944598E-01  0.2412793E-01 -0.1613215E-01 -0.4473897E-01 -0.6438006E-01 -0.7717203E-01 -0.8477741E-01 -0.8849806E-01 -0.8934981E-01 -0.8812189E-01
 0.1200000E+01  0.1278513E+01  0.9340871E+00  0.6672165E+00  0.4616131E+00  0.3042975E+00  0.1849402E+00  0.9533065E-01  0.2895250E-01 -0.1935809E-01 -0.5368582E-01 -0.7725516E-01 -0.9260575E-01 -0.1017325E+00 -0.1061975E+00 -0.1072198E+00 -0.1057464E+00
 0.1400000E+01  0.1491175E+01  0.1089528E+01  0.7782866E+00  0.5384781E+00  0.3549784E+00  0.2157473E+00  0.1112128E+00  0.3377653E-01 -0.2258377E-01 -0.6263215E-01 -0.9012977E-01 -0.1080391E+00 -0.1186873E+00 -0.1238969E+00 -0.1250898E+00 -0.1233711E+00
 0.1600000E+01  0.1703641E+01  0.1244858E+01  0.8892954E+00  0.6153106E+00  0.4056429E+00  0.2465469E+00  0.1270922E+00  0.3859991E-01 -0.2580914E-01 -0.7157789E-01 -0.1030038E+00 -0.1234720E+00 -0.1356419E+00 -0.1415961E+00 -0.1429598E+00 -0.1409958E+00
 0.1800000E+01  0.1915885E+01  0.1400061E+01  0.1000234E+01  0.6921059E+00  0.4562887E+00  0.2773379E+00  0.1429682E+00  0.4342255E-01 -0.2903416E-01 -0.8052294E-01 -0.1158772E+00 -0.1389044E+00 -0.1525962E+00 -0.1592952E+00 -0.1608298E+00 -0.1586206E+00
 0.2000000E+01  0.2127878E+01  0.1555122E+01  0.1111095E+01  0.7688595E+00  0.5069135E+00  0.3081194E+00  0.1588405E+00  0.4824437E-01 -0.3225878E-01 -0.8946721E-01 -0.1287498E+00 -0.1543363E+00 -0.1695501E+00 -0.1769942E+00 -0.1786999E+00 -0.1762456E+00
 0.2200000E+01  0.2339593E+01  0.1710025E+01  0.1221868E+01  0.8455667E+00  0.5575151E+00  0.3388901E+00  0.1747087E+00  0.5306527E-01 -0.3548295E-01 -0.9841063E-01 -0.1416216E+00 -0.1697675E+00 -0.1865037E+00 -0.1946931E+00 -0.1965700E+00 -0.1938707E+00
 0.2400000E+01  0.2551003E+01  0.1864755E+01  0.1332545E+01  0.9222229E+00  0.6080910E+00  0.3696490E+00  0.1905724E+00  0.5788516E-01 -0.3870664E-01 -0.1073531E+00 -0.1544925E+00 -0.1851981E+00 -0.2034569E+00 -0.2123917E+00 -0.2144401E+00 -0.2114960E+00
 0.2600000E+01  0.2762081E+01  0.2019295E+01  0.1443118E+01  0.9988236E+00  0.6586389E+00  0.4003952E+00  0.2064311E+00  0.6270395E-01 -0.4192980E-01 -0.1162946E+00 -0.1673624E+00 -0.2006279E+00 -0.2204096E+00 -0.2300902E+00 -0.2323102E+00 -0.2291215E+00
 0.2800000E+01  0.2972799E+01  0.2173632E+01  0.1553578E+01  0.1075364E+01  0.7091566E+00  0.4311274E+00  0.2222845E+00  0.6752155E-01 -0.4515238E-01 -0.1252349E+00 -0.1802312E+00 -0.2160569E+00 -0.2373618E+00 -0.2477885E+00 -0.2501803E+00 -0.2467471E+00
 0.3000000E+01  0.3183132E+01  0.2327748E+01  0.1663916E+01  0.1151840E+01  0.7596418E+00  0.4618446E+00  0.2381321E+00  0.7233786E-01 -0.4837435E-01 -0.1341740E+00 -0.1930988E+00 -0.2314851E+00 -0.2543135E+00 -0.2654865E+00 -0.2680505E+00 -0.2643730E+00
 0.3200000E+01  0.3393051E+01  0.2481629E+01  0.1774124E+01  0.1228246E+01  0.8100920E+00  0.4925459E+00  0.2539736E+00  0.7715279E-01 -0.5159565E-01 -0.1431119E+00 -0.2059652E+00 -0.2469123E+00 -0.2712646E+00 -0.2831844E+00 -0.2859207E+00 -0.2819990E+00
 0.3400000E+01  0.3602531E+01  0.2635260E+01  0.1884193E+01  0.1304579E+01  0.8605051E+00  0.5232301E+00  0.2698084E+00  0.8196625E-01 -0.5481625E-01 -0.1520483E+00 -0.2188303E+00 -0.2623385E+00 -0.2882151E+00 -0.3008820E+00 -0.3037910E+00 -0.2996253E+00
